First.Author,PYear,EYear,Location,Lontitude,Latitude,Country,Genotype,Cultivar,Nitrogen,Nmass,CO2,N,HD.SR,HD.MeanSR,HD.MaxT35,HD.MaxT26,HD.MaxT3,HD.MaxT5,HD.MeanT,HD.MinT,HD.MaxT,HD.RangeT,HD.MeanVPD,HD.PRE,PM.SR,PM.MeanSR,PM.MaxT35,PM.MaxT26,PM.MaxT3,PM.MaxT5,PM.MeanT,PM.MinT,PM.MaxT,PM.RangeT,PM.MeanVPD,PM.PRE
Li CH,2017,2014,Jiangdu,119.5,32.4,China,Japonica,Wuyunjing23,MN,22.5,FACE,3,1112.8074,14.64220263,0,11,0,0,25.73434211,22.86736842,28.60131579,5.733947368,2.789473684,566.96,759.6051,13.56437679,0,0,0,0,20.94026786,17.37910714,24.50142857,7.122321429,1.983928571,151.58
Wang JQ,2016,2011,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,AMB,3,1373.1462,16.95242222,1,21,0,0,27.5954321,24.55888889,30.63197531,6.07308642,2.920987654,375.5,646.748,13.19893878,0,0,0,0,19.69591837,16.03836735,23.35346939,7.315102041,1.728571429,84.53
Wang JQ,2016,2011,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,FACE,3,1348.4092,17.06847089,1,21,0,0,27.67164557,24.64341772,30.69987342,6.056455696,2.930379747,375.09,663.4263,13.00835882,0,0,0,0,19.85843137,16.24843137,23.46843137,7.22,1.756862745,86.27
Wang JQ,2016,2012,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,AMB,3,1447.9652,17.87611358,0,28,0,0,27.56314815,24.43888889,30.68740741,6.248518519,2.886419753,507.76,822.5211,14.68787679,0,0,0,0,20.58151786,16.51964286,24.64339286,8.12375,1.775,96.77
Wang JQ,2016,2012,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,FACE,3,1408.4562,17.82855949,0,28,0,0,27.60873418,24.49772152,30.71974684,6.222025316,2.898734177,507.73,861.3131,14.85022586,0,0,0,0,20.775,16.74241379,24.80758621,8.065172414,1.798275862,97.17
Wang JQ,2016,2013,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,AMB,3,1582.772,19.54039506,27,49,21,17,29.28203704,25.50419753,33.05987654,7.555679012,2.812345679,299.4,727.7264,13.99473846,0,0,0,0,21.67009615,17.75076923,25.58942308,7.838653846,1.930769231,117.2
Wang JQ,2016,2013,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,FACE,3,1566.045,19.82335443,27,49,21,17,29.47018987,25.65848101,33.28189873,7.623417722,2.830379747,294.55,735.3741,13.61803889,0,0,0,0,21.65064815,17.82648148,25.47481481,7.648333333,1.935185185,124.45
Wang JQ,2016,2014,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,AMB,3,1169.3782,14.4367679,0,8,0,0,25.93796296,23.03209877,28.84382716,5.811728395,2.807407407,597.86,682.9308,13.13328462,0,0,0,0,20.43769231,16.81211538,24.06326923,7.251153846,1.878846154,93.78
Wang JQ,2016,2014,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,FACE,3,1144.4052,14.48614177,0,8,0,0,25.96639241,23.04632911,28.8864557,5.840126582,2.813924051,595.43,709.6948,13.1424963,0,0,0,0,20.61481481,17.0212963,24.20833333,7.187037037,1.905555556,96.45
Wang JQ,2016,2014,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,AMB,3,1161.5088,14.33961481,0,8,0,0,25.88987654,22.97444444,28.80530864,5.830864198,2.807407407,652.64,720.482,13.85542308,0,0,0,0,20.84096154,17.13557692,24.54634615,7.410769231,1.921153846,61.85
